sample_a,sample_b,pair_type,similarity
杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,same,0.929084
杨戴/伤逝__chunk001,杨戴/伤逝__chunk003,same,0.920680
杨戴/伤逝__chunk001,杨戴/伤逝__chunk004,same,0.902120
杨戴/伤逝__chunk001,杨戴/在酒楼上__chunk001,same,0.915901
杨戴/伤逝__chunk001,杨戴/在酒楼上__chunk002,same,0.921852
杨戴/伤逝__chunk001,杨戴/奔月__chunk001,same,0.850286
杨戴/伤逝__chunk001,杨戴/奔月__chunk002,same,0.801665
杨戴/伤逝__chunk001,杨戴/孤独者__chunk001,same,0.850777
杨戴/伤逝__chunk001,杨戴/孤独者__chunk002,same,0.876006
杨戴/伤逝__chunk001,杨戴/孤独者__chunk003,same,0.884759
杨戴/伤逝__chunk001,杨戴/孤独者__chunk004,same,0.854541
杨戴/伤逝__chunk001,杨戴/幸福的家庭__chunk001,same,0.819964
杨戴/伤逝__chunk001,杨戴/故乡__chunk001,same,0.899593
杨戴/伤逝__chunk001,杨戴/故乡__chunk002,same,0.880888
杨戴/伤逝__chunk001,杨戴/明天__chunk001,same,0.816798
杨戴/伤逝__chunk001,杨戴/狂人日记__chunk001,same,0.869672
杨戴/伤逝__chunk001,杨戴/狂人日记__chunk002,same,0.844965
杨戴/伤逝__chunk001,杨戴/社戏__chunk001,same,0.902826
杨戴/伤逝__chunk001,杨戴/社戏__chunk002,same,0.873922
杨戴/伤逝__chunk001,杨戴/祝福__chunk001,same,0.927520
杨戴/伤逝__chunk001,杨戴/祝福__chunk002,same,0.854190
杨戴/伤逝__chunk001,杨戴/祝福__chunk003,same,0.839610
杨戴/伤逝__chunk001,杨戴/祝福__chunk004,same,0.850447
杨戴/伤逝__chunk001,杨戴/离婚__chunk001,same,0.828981
杨戴/伤逝__chunk001,杨戴/离婚__chunk002,same,0.839936
杨戴/伤逝__chunk001,杨戴/肥皂__chunk001,same,0.865108
杨戴/伤逝__chunk001,杨戴/肥皂__chunk002,same,0.829453
杨戴/伤逝__chunk001,杨戴/药__chunk001,same,0.797626
杨戴/伤逝__chunk001,杨戴/药__chunk002,same,0.802886
杨戴/伤逝__chunk001,杨戴/铸剑__chunk001,same,0.810650
杨戴/伤逝__chunk001,杨戴/铸剑__chunk002,same,0.798384
杨戴/伤逝__chunk001,杨戴/铸剑__chunk003,same,0.814210
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk001,same,0.793879
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk002,same,0.790454
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk003,same,0.798362
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk004,same,0.783343
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk005,same,0.803806
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk006,same,0.802831
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk007,same,0.790604
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk008,same,0.791530
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk009,same,0.803170
杨戴/伤逝__chunk001,杨戴/风波__chunk001,same,0.856612
杨戴/伤逝__chunk001,杨戴/风波__chunk002,same,0.820246
杨戴/伤逝__chunk001,蓝/伤逝__chunk001,cross,0.929473
杨戴/伤逝__chunk001,蓝/伤逝__chunk002,cross,0.910274
杨戴/伤逝__chunk001,蓝/伤逝__chunk003,cross,0.910989
杨戴/伤逝__chunk001,蓝/在酒楼上__chunk001,cross,0.905812
杨戴/伤逝__chunk001,蓝/在酒楼上__chunk002,cross,0.893588
杨戴/伤逝__chunk001,蓝/奔月__chunk001,cross,0.837784
杨戴/伤逝__chunk001,蓝/奔月__chunk002,cross,0.795105
杨戴/伤逝__chunk001,蓝/孤独者__chunk001,cross,0.849723
杨戴/伤逝__chunk001,蓝/孤独者__chunk002,cross,0.864687
杨戴/伤逝__chunk001,蓝/孤独者__chunk003,cross,0.878607
杨戴/伤逝__chunk001,蓝/孤独者__chunk004,cross,0.841280
杨戴/伤逝__chunk001,蓝/幸福的家庭__chunk001,cross,0.814039
杨戴/伤逝__chunk001,蓝/故乡__chunk001,cross,0.900566
杨戴/伤逝__chunk001,蓝/故乡__chunk002,cross,0.852865
杨戴/伤逝__chunk001,蓝/明天__chunk001,cross,0.848825
杨戴/伤逝__chunk001,蓝/狂人日记__chunk001,cross,0.864130
杨戴/伤逝__chunk001,蓝/狂人日记__chunk002,cross,0.826618
杨戴/伤逝__chunk001,蓝/社戏__chunk001,cross,0.875745
杨戴/伤逝__chunk001,蓝/社戏__chunk002,cross,0.870139
杨戴/伤逝__chunk001,蓝/祝福__chunk001,cross,0.886427
杨戴/伤逝__chunk001,蓝/祝福__chunk002,cross,0.868097
杨戴/伤逝__chunk001,蓝/祝福__chunk003,cross,0.850492
杨戴/伤逝__chunk001,蓝/离婚__chunk001,cross,0.836321
杨戴/伤逝__chunk001,蓝/离婚__chunk002,cross,0.813426
杨戴/伤逝__chunk001,蓝/肥皂__chunk001,cross,0.849648
杨戴/伤逝__chunk001,蓝/肥皂__chunk002,cross,0.821184
杨戴/伤逝__chunk001,蓝/药__chunk001,cross,0.783041
杨戴/伤逝__chunk001,蓝/铸剑__chunk001,cross,0.816219
杨戴/伤逝__chunk001,蓝/铸剑__chunk002,cross,0.798389
杨戴/伤逝__chunk001,蓝/铸剑__chunk003,cross,0.802507
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk001,cross,0.786579
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk002,cross,0.762361
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk003,cross,0.764300
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk004,cross,0.774361
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk005,cross,0.764789
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk006,cross,0.802733
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk007,cross,0.809171
杨戴/伤逝__chunk001,蓝/阿Q正传__chunk008,cross,0.800726
杨戴/伤逝__chunk001,蓝/风波__chunk001,cross,0.822402
杨戴/伤逝__chunk002,杨戴/伤逝__chunk003,same,0.942743
杨戴/伤逝__chunk002,杨戴/伤逝__chunk004,same,0.930798
杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk001,same,0.922916
杨戴/伤逝__chunk002,杨戴/在酒楼上__chunk002,same,0.931846
杨戴/伤逝__chunk002,杨戴/奔月__chunk001,same,0.874008
杨戴/伤逝__chunk002,杨戴/奔月__chunk002,same,0.830061
杨戴/伤逝__chunk002,杨戴/孤独者__chunk001,same,0.868891
杨戴/伤逝__chunk002,杨戴/孤独者__chunk002,same,0.896332
杨戴/伤逝__chunk002,杨戴/孤独者__chunk003,same,0.894648
杨戴/伤逝__chunk002,杨戴/孤独者__chunk004,same,0.879073
杨戴/伤逝__chunk002,杨戴/幸福的家庭__chunk001,same,0.828499
杨戴/伤逝__chunk002,杨戴/故乡__chunk001,same,0.928159
杨戴/伤逝__chunk002,杨戴/故乡__chunk002,same,0.897364
杨戴/伤逝__chunk002,杨戴/明天__chunk001,same,0.848478
杨戴/伤逝__chunk002,杨戴/狂人日记__chunk001,same,0.868229
杨戴/伤逝__chunk002,杨戴/狂人日记__chunk002,same,0.875843
杨戴/伤逝__chunk002,杨戴/社戏__chunk001,same,0.925105
杨戴/伤逝__chunk002,杨戴/社戏__chunk002,same,0.901047
杨戴/伤逝__chunk002,杨戴/祝福__chunk001,same,0.915245
杨戴/伤逝__chunk002,杨戴/祝福__chunk002,same,0.864747
杨戴/伤逝__chunk002,杨戴/祝福__chunk003,same,0.861045
