sample_a,sample_b,pair_type,similarity
杨戴/伤逝__chunk001,杨戴/伤逝__chunk002,same,0.948894
杨戴/伤逝__chunk001,杨戴/在酒楼上__chunk001,same,0.946058
杨戴/伤逝__chunk001,杨戴/奔月__chunk001,same,0.861203
杨戴/伤逝__chunk001,杨戴/孤独者__chunk001,same,0.902834
杨戴/伤逝__chunk001,杨戴/孤独者__chunk002,same,0.914268
杨戴/伤逝__chunk001,杨戴/幸福的家庭__chunk001,same,0.827079
杨戴/伤逝__chunk001,杨戴/故乡__chunk001,same,0.921518
杨戴/伤逝__chunk001,杨戴/明天__chunk001,same,0.854222
杨戴/伤逝__chunk001,杨戴/狂人日记__chunk001,same,0.884301
杨戴/伤逝__chunk001,杨戴/社戏__chunk001,same,0.926981
杨戴/伤逝__chunk001,杨戴/祝福__chunk001,same,0.929354
杨戴/伤逝__chunk001,杨戴/祝福__chunk002,same,0.877960
杨戴/伤逝__chunk001,杨戴/离婚__chunk001,same,0.873254
杨戴/伤逝__chunk001,杨戴/肥皂__chunk001,same,0.879847
杨戴/伤逝__chunk001,杨戴/药__chunk001,same,0.828055
杨戴/伤逝__chunk001,杨戴/铸剑__chunk001,same,0.824827
杨戴/伤逝__chunk001,杨戴/铸剑__chunk002,same,0.798309
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk001,same,0.813493
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk002,same,0.809763
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk003,same,0.824198
杨戴/伤逝__chunk001,杨戴/阿Q正传__chunk004,same,0.815988
杨戴/伤逝__chunk001,杨戴/风波__chunk001,same,0.870766
杨戴/伤逝__chunk001,蓝/伤逝__chunk001,cross,0.946608
杨戴/伤逝__chunk001,蓝/伤逝__chunk002,cross,0.911234
杨戴/伤逝__chunk001,蓝/在酒楼上__chunk001,cross,0.950946
杨戴/伤逝__chunk001,蓝/奔月__chunk001,cross,0.845522
杨戴/伤逝__chunk001,蓝/孤独者__chunk001,cross,0.895234
杨戴/伤逝__chunk001,蓝/孤独者__chunk002,cross,0.902338
杨戴/伤逝__chunk001,蓝/幸福的家庭__chunk001,cross,0.805060
杨戴/伤逝__chunk001,蓝/故乡__chunk001,cross,0.912084
